date,bytes_sent,bytes_recv,packets_sent,packets_recv
2026-02-18 13:28:36,43214020,572938303,368778,522482
2026-02-18 13:32:05,46821087,576166658,372284,525783
2026-02-18 13:32:08,46827545,576173679,372305,525807
2026-02-18 13:32:10,46827996,576174125,372310,525812
2026-02-18 13:35:48,47200553,576439439,374227,527674
2026-02-18 13:45:00,49742660,579556981,382092,535837
2026-02-18 17:19:45,51933890,584503255,388567,543434
2026-02-18 17:19:49,51933998,584503315,388569,543435
2026-02-18 17:19:52,51934124,584503382,388571,543436
2026-02-18 17:19:55,51976893,584529890,388783,543541
2026-02-18 17:19:59,51977883,584532770,388793,543554
2026-02-18 17:20:02,51978024,584533076,388795,543557
2026-02-18 17:20:05,51978364,584534307,388798,543563
2026-02-18 17:20:09,51984837,584541566,388815,543586
2026-02-18 17:20:12,51996133,584548794,388837,543610
2026-02-18 17:20:15,52009543,584818585,388991,543842
2026-02-18 17:20:19,52036174,584857524,389084,543918
2026-02-18 17:20:22,52041424,584973418,389149,544014
2026-02-18 17:20:25,52050238,584980456,389174,544033
2026-02-18 17:20:29,52052136,584981119,389187,544041
2026-02-18 17:20:32,52052262,584981186,389189,544042
2026-02-18 17:20:35,52058496,584987962,389202,544060
2026-02-18 17:20:39,52058746,584988228,389205,544063
2026-02-18 17:58:44,61708370,631556132,432043,605528
2026-02-18 17:59:22,61763668,631704906,432244,605757
2026-02-18 17:59:45,61773354,631717916,432299,605825
2026-02-18 18:00:43,61967181,631847256,432644,606095
2026-02-18 18:00:46,61967683,631847745,432651,606101
2026-02-18 18:04:11,62329875,632232500,434158,607742
2026-02-18 18:04:20,62342424,632241001,434207,607774
2026-02-18 18:04:23,62348586,632246640,434221,607787
2026-02-18 18:04:27,62350942,632253332,434237,607799
2026-02-18 18:04:30,62381599,632275545,434293,607848
2026-02-18 18:04:33,62384256,632281700,434311,607863
2026-02-18 18:04:37,62391812,632288636,434328,607882
2026-02-18 18:11:11,63811988,634307060,443916,620247
2026-02-18 18:12:25,63925102,634378570,444192,620461
2026-02-18 18:12:27,63926650,634378854,444202,620465
2026-02-18 18:12:30,63930616,634394373,444232,620495
2026-02-18 18:12:34,63930616,634394373,444232,620495
2026-02-18 18:12:37,63931090,634394639,444237,620499
2026-02-18 18:12:40,63947984,634409063,444266,620530
2026-02-18 18:12:44,64003677,634421462,444329,620559
2026-02-18 18:12:47,64012704,634425521,444346,620570
2026-02-18 18:12:51,64177756,634508903,444539,620697
2026-02-18 18:12:54,64178636,634565385,444550,620749
2026-02-18 18:12:58,64178976,634567513,444555,620756
2026-02-18 18:13:01,64179347,634567721,444559,620759
2026-02-18 18:13:04,64179347,634567721,444559,620759
2026-02-18 18:13:08,64179843,634569489,444565,620765
2026-02-18 18:13:11,64180802,634570392,444578,620776
2026-02-18 18:13:15,64198925,634571509,444595,620784
2026-02-18 18:13:18,64209848,634573937,444609,620790
2026-02-18 18:15:10,64777520,635508015,446618,623024
2026-02-18 18:15:14,64778221,635508805,446628,623034
2026-02-18 21:14:17,104458916,1364920212,766389,1187010
2026-02-18 21:14:34,104557353,1365065785,766700,1187332
2026-02-18 21:14:37,104559843,1365072852,766723,1187354
2026-02-18 21:14:41,104573161,1365193527,766837,1187488
2026-02-18 21:15:02,104606871,1365216509,766921,1187564
2026-02-18 21:15:05,104607326,1365217521,766929,1187572
2026-02-18 21:15:09,104624304,1365233088,766962,1187611
2026-02-18 21:15:12,104624902,1365233812,766971,1187620
2026-02-18 21:15:16,104625215,1365234026,766974,1187623
2026-02-18 21:15:19,104626100,1365234468,766986,1187629
2026-02-18 21:16:02,104849450,1369050831,767660,1190898
2026-02-18 21:16:21,104875557,1369093477,767745,1190994
2026-02-18 21:16:24,104875882,1369093956,767750,1190999
2026-02-18 21:16:28,104878303,1369094076,767763,1191000
2026-02-18 21:16:31,104881969,1369109958,767796,1191032
2026-02-18 21:16:34,104882324,1369110660,767802,1191037
2026-02-18 21:16:38,104882798,1369111082,767808,1191042
2026-02-18 21:16:41,104896514,1369123479,767843,1191079
2026-02-18 21:16:45,104904374,1369128814,767857,1191091
2026-02-18 21:16:48,104904704,1369129308,767862,1191096
2026-02-18 21:16:52,104926940,1369134715,767890,1191111
2026-02-18 21:16:55,104927253,1369135257,767896,1191117
