date,ram_usage_percent,ram_total_gb
2026-02-18 13:28:36,48.0,31.58
2026-02-18 13:32:05,48.3,31.58
2026-02-18 13:32:08,48.3,31.58
2026-02-18 13:32:10,48.3,31.58
2026-02-18 13:35:48,48.5,31.58
2026-02-18 13:45:00,49.2,31.58
2026-02-18 17:19:45,40.3,31.58
2026-02-18 17:19:49,40.3,31.58
2026-02-18 17:19:52,40.3,31.58
2026-02-18 17:19:55,40.6,31.58
2026-02-18 17:19:59,40.8,31.58
2026-02-18 17:20:02,40.8,31.58
2026-02-18 17:20:05,40.5,31.58
2026-02-18 17:20:09,40.5,31.58
2026-02-18 17:20:12,40.6,31.58
2026-02-18 17:20:15,40.7,31.58
2026-02-18 17:20:19,40.8,31.58
2026-02-18 17:20:22,40.8,31.58
2026-02-18 17:20:25,40.7,31.58
2026-02-18 17:20:29,40.7,31.58
2026-02-18 17:20:32,40.7,31.58
2026-02-18 17:20:35,40.7,31.58
2026-02-18 17:20:39,40.6,31.58
2026-02-18 17:58:44,51.2,31.58
2026-02-18 17:59:22,51.7,31.58
2026-02-18 17:59:45,51.8,31.58
2026-02-18 18:00:43,51.9,31.58
2026-02-18 18:00:46,51.9,31.58
2026-02-18 18:04:11,51.9,31.58
2026-02-18 18:04:20,51.4,31.58
2026-02-18 18:04:23,51.4,31.58
2026-02-18 18:04:27,51.4,31.58
2026-02-18 18:04:30,51.5,31.58
2026-02-18 18:04:33,51.5,31.58
2026-02-18 18:04:37,51.4,31.58
2026-02-18 18:11:11,50.9,31.58
2026-02-18 18:12:25,50.7,31.58
2026-02-18 18:12:27,50.8,31.58
2026-02-18 18:12:30,50.9,31.58
2026-02-18 18:12:34,50.8,31.58
2026-02-18 18:12:37,50.7,31.58
2026-02-18 18:12:40,51.1,31.58
2026-02-18 18:12:44,50.6,31.58
2026-02-18 18:12:47,50.6,31.58
2026-02-18 18:12:51,50.6,31.58
2026-02-18 18:12:54,50.7,31.58
2026-02-18 18:12:58,49.5,31.58
2026-02-18 18:13:01,49.5,31.58
2026-02-18 18:13:04,49.5,31.58
2026-02-18 18:13:08,49.5,31.58
2026-02-18 18:13:11,49.5,31.58
2026-02-18 18:13:15,49.6,31.58
2026-02-18 18:13:18,49.7,31.58
2026-02-18 18:15:10,50.0,31.58
2026-02-18 18:15:14,50.0,31.58
2026-02-18 21:14:17,50.3,31.58
2026-02-18 21:14:34,50.5,31.58
2026-02-18 21:14:37,50.5,31.58
2026-02-18 21:14:41,50.6,31.58
2026-02-18 21:15:02,50.4,31.58
2026-02-18 21:15:05,50.4,31.58
2026-02-18 21:15:09,50.3,31.58
2026-02-18 21:15:12,50.3,31.58
2026-02-18 21:15:16,50.3,31.58
2026-02-18 21:15:19,50.4,31.58
2026-02-18 21:16:02,50.7,31.58
2026-02-18 21:16:21,50.7,31.58
2026-02-18 21:16:24,50.6,31.58
2026-02-18 21:16:28,50.6,31.58
2026-02-18 21:16:31,50.6,31.58
2026-02-18 21:16:34,50.6,31.58
2026-02-18 21:16:38,50.6,31.58
2026-02-18 21:16:41,50.7,31.58
2026-02-18 21:16:45,50.7,31.58
2026-02-18 21:16:48,50.7,31.58
2026-02-18 21:16:52,50.7,31.58
2026-02-18 21:16:55,50.7,31.58
